Year,Date,Day of Week,Holiday,Category,Confidence,Notes
2019,2019-08-15 00:00:00,Thursday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2019,2019-09-10 00:00:00,Tuesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2019,2019-10-08 00:00:00,Tuesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2019,2019-11-07 00:00:00,Thursday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2019,2019-11-10 00:00:00,Sunday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2019,2019-12-16 00:00:00,Monday,Victory Day,National,Confirmed,
2019,2019-12-25 00:00:00,Wednesday,Christmas Day,Religious (Christian),Confirmed,
2020,2020-02-21 00:00:00,Friday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2020,2020-03-17 00:00:00,Tuesday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2020,2020-03-26 00:00:00,Thursday,Independence Day,National,Confirmed,
2020,2020-04-10 00:00:00,Friday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2020,2020-04-14 00:00:00,Tuesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2020,2020-05-01 00:00:00,Friday,May Day (International Workers' Day),National,Confirmed,
2020,2020-05-21 00:00:00,Thursday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2020,2020-05-25 00:00:00,Monday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2020,2020-05-26 00:00:00,Tuesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2020,2020-05-27 00:00:00,Wednesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2020,2020-08-01 00:00:00,Saturday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2020,2020-08-02 00:00:00,Sunday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2020,2020-08-03 00:00:00,Monday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2020,2020-08-15 00:00:00,Saturday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2020,2020-08-30 00:00:00,Sunday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2020,2020-10-26 00:00:00,Monday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2020,2020-10-30 00:00:00,Friday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2020,2020-11-07 00:00:00,Saturday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2020,2020-12-16 00:00:00,Wednesday,Victory Day,National,Confirmed,
2020,2020-12-25 00:00:00,Friday,Christmas Day,Religious (Christian),Confirmed,
2021,2021-02-21 00:00:00,Sunday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2021,2021-03-17 00:00:00,Wednesday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2021,2021-03-26 00:00:00,Friday,Independence Day,National,Confirmed,
2021,2021-03-30 00:00:00,Tuesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2021,2021-04-14 00:00:00,Wednesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2021,2021-05-01 00:00:00,Saturday,May Day (International Workers' Day),National,Confirmed,
2021,2021-05-10 00:00:00,Monday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2021,2021-05-14 00:00:00,Friday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2021,2021-05-15 00:00:00,Saturday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2021,2021-05-16 00:00:00,Sunday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2021,2021-07-19 00:00:00,Monday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2021,2021-07-20 00:00:00,Tuesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2021,2021-07-21 00:00:00,Wednesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2021,2021-08-15 00:00:00,Sunday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2021,2021-08-17 00:00:00,Tuesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2021,2021-10-15 00:00:00,Friday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2021,2021-10-17 00:00:00,Sunday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2021,2021-11-07 00:00:00,Sunday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2021,2021-12-16 00:00:00,Thursday,Victory Day,National,Confirmed,
2021,2021-12-25 00:00:00,Saturday,Christmas Day,Religious (Christian),Confirmed,
2022,2022-02-21 00:00:00,Monday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2022,2022-03-17 00:00:00,Thursday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2022,2022-03-19 00:00:00,Saturday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2022,2022-03-26 00:00:00,Saturday,Independence Day,National,Confirmed,
2022,2022-04-14 00:00:00,Thursday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2022,2022-04-29 00:00:00,Friday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2022,2022-05-01 00:00:00,Sunday,May Day (International Workers' Day),National,Confirmed,
2022,2022-05-03 00:00:00,Tuesday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2022,2022-05-04 00:00:00,Wednesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2022,2022-05-05 00:00:00,Thursday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2022,2022-07-08 00:00:00,Friday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2022,2022-07-09 00:00:00,Saturday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2022,2022-07-10 00:00:00,Sunday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2022,2022-08-06 00:00:00,Saturday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2022,2022-08-15 00:00:00,Monday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2022,2022-10-05 00:00:00,Wednesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2022,2022-10-06 00:00:00,Thursday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2022,2022-11-07 00:00:00,Monday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2022,2022-12-16 00:00:00,Friday,Victory Day,National,Confirmed,
2022,2022-12-25 00:00:00,Sunday,Christmas Day,Religious (Christian),Confirmed,
2023,2023-02-21 00:00:00,Tuesday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2023,2023-03-08 00:00:00,Wednesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2023,2023-03-17 00:00:00,Friday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2023,2023-03-26 00:00:00,Sunday,Independence Day,National,Confirmed,
2023,2023-04-14 00:00:00,Friday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2023,2023-04-18 00:00:00,Tuesday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2023,2023-04-22 00:00:00,Saturday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2023,2023-04-23 00:00:00,Sunday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2023,2023-04-24 00:00:00,Monday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2023,2023-05-01 00:00:00,Monday,May Day (International Workers' Day),National,Confirmed,
2023,2023-06-29 00:00:00,Thursday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2023,2023-06-30 00:00:00,Friday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2023,2023-07-01 00:00:00,Saturday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2023,2023-07-28 00:00:00,Friday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2023,2023-08-15 00:00:00,Tuesday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2023,2023-09-27 00:00:00,Wednesday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2023,2023-10-24 00:00:00,Tuesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2023,2023-11-07 00:00:00,Tuesday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2023,2023-12-16 00:00:00,Saturday,Victory Day,National,Confirmed,
2023,2023-12-25 00:00:00,Monday,Christmas Day,Religious (Christian),Confirmed,
2024,2024-02-21 00:00:00,Wednesday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2024,2024-02-25 00:00:00,Sunday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2024,2024-03-26 00:00:00,Tuesday,Independence Day,National,Confirmed,
2024,2024-04-06 00:00:00,Saturday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2024,2024-04-10 00:00:00,Wednesday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2024,2024-04-11 00:00:00,Thursday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2024,2024-04-12 00:00:00,Friday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2024,2024-04-14 00:00:00,Sunday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2024,2024-05-01 00:00:00,Wednesday,May Day (International Workers' Day),National,Confirmed,
2024,2024-06-17 00:00:00,Monday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2024,2024-06-18 00:00:00,Tuesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2024,2024-06-19 00:00:00,Wednesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2024,2024-07-16 00:00:00,Tuesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2024,2024-09-15 00:00:00,Sunday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2024,2024-10-13 00:00:00,Sunday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2024,2024-12-16 00:00:00,Monday,Victory Day,National,Confirmed,
2024,2024-12-25 00:00:00,Wednesday,Christmas Day,Religious (Christian),Confirmed,
2025,2025-02-14 00:00:00,Friday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2025,2025-02-21 00:00:00,Friday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2025,2025-03-26 00:00:00,Wednesday,Independence Day,National,Confirmed,
2025,2025-03-27 00:00:00,Thursday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2025,2025-03-31 00:00:00,Monday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2025,2025-04-01 00:00:00,Tuesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2025,2025-04-02 00:00:00,Wednesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2025,2025-04-14 00:00:00,Monday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2025,2025-05-01 00:00:00,Thursday,May Day (International Workers' Day),National,Confirmed,
2025,2025-06-07 00:00:00,Saturday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2025,2025-06-08 00:00:00,Sunday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2025,2025-06-09 00:00:00,Monday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2025,2025-07-06 00:00:00,Sunday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2025,2025-08-05 00:00:00,Tuesday,July Mass Uprising Day,National,Confirmed,New holiday introduced from 2025 commemorating the 2024 uprising
2025,2025-09-05 00:00:00,Friday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2025,2025-10-02 00:00:00,Thursday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2025,2025-12-16 00:00:00,Tuesday,Victory Day,National,Confirmed,
2025,2025-12-25 00:00:00,Thursday,Christmas Day,Religious (Christian),Confirmed,
2026,2026-02-04 00:00:00,Wednesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2026,2026-02-21 00:00:00,Saturday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2026,2026-03-17 00:00:00,Tuesday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2026,2026-03-21 00:00:00,Saturday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2026,2026-03-22 00:00:00,Sunday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2026,2026-03-23 00:00:00,Monday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2026,2026-03-26 00:00:00,Thursday,Independence Day,National,Confirmed,
2026,2026-04-14 00:00:00,Tuesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2026,2026-05-01 00:00:00,Friday,May Day (International Workers' Day),National,Confirmed,
2026,2026-05-28 00:00:00,Thursday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2026,2026-05-29 00:00:00,Friday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2026,2026-05-30 00:00:00,Saturday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2026,2026-06-26 00:00:00,Friday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2026,2026-08-05 00:00:00,Wednesday,July Mass Uprising Day,National,Confirmed,New holiday introduced from 2025 commemorating the 2024 uprising
2026,2026-08-26 00:00:00,Wednesday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2026,2026-10-21 00:00:00,Wednesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2026,2026-12-16 00:00:00,Wednesday,Victory Day,National,Confirmed,
2026,2026-12-25 00:00:00,Friday,Christmas Day,Religious (Christian),Confirmed,
